timestamp,project_root,target_class,line_coverage_pct,mutation_score_pct,flaky_count,num_class_methods,num_test_methods,num_chatgpt_prompts,num_test_files
2025-10-24T03:06:18.276201Z,commons-cli,DefaultParser,85.61,73.79,,33,25,18,6
2025-10-24T03:20:47.397781Z,commons-cli,CommandLine,47.11,63.75,,64,157,688,50
2025-10-24T03:45:49.197608Z,commons-cli,Option,50,76.47,,53,53,52,15
2025-10-24T03:53:17.556299Z,commons-cli,Option,58.11,81.13,,53,53,74,15
2025-10-24T03:57:50.744178Z,commons-cli,Option,60.14,82.26,,53,61,100,15
2025-10-24T04:45:05.746903Z,commons-cli,Options,85.92,51.72,,19,51,36,12
2025-10-24T04:47:46.680624Z,commons-cli,Options,92.96,48.28,,19,65,42,14
2025-10-24T04:54:01.265039Z,commons-cli,Options,81.69,55.56,,19,63,46,14
2025-10-24T05:12:26.390726Z,commons-cli,CommandLine,83.45,71.03,,64,165,684,49
2025-10-24T05:44:29.869398Z,commons-cli,CommandLine,84.17,70.75,,64,151,530,50
2025-10-24T05:58:01.559226Z,commons-cli,DefaultParser,37.33,58.57,,33,14,76,5
2025-10-24T06:00:32.329745Z,commons-cli,DefaultParser,45.78,52.63,,33,16,18,6
2025-10-24T06:32:54.894895Z,commons-csv,CSVFormat,66.8,80.33,0,109,127,214,50
2025-10-24T06:49:23.935251Z,commons-csv,CSVFormat,73.12,81.05,12,109,134,212,50
2025-10-24T15:37:51.327304Z,commons-csv,CSVFormat,74.95,88.71,6,109,141,212,50
2025-10-24T16:37:11.741024Z,commons-csv,CSVParser,75.78,54.41,0,31,43,114,11
2025-10-24T17:36:32.581648Z,commons-cli,HelpFormatter,70.18,40.43,,49,46,78,15
2025-10-24T17:58:56.001563Z,commons-cli,org/apache/commons/cli/HelpFormatter,77.64,42,0,0,45,34,15
2025-10-24T18:13:44.595018Z,commons-cli,org.apache.commons.cli.HelpFormatter,76.02,43.01,0,0,47,46,15
2025-10-24T18:35:57.338195Z,commons-csv,CSVParser,78.91,52.86,0,31,43,112,12
2025-10-24T18:42:28.016603Z,commons-csv,CSVParser,75,64.79,,31,32,142,11
2025-10-24T19:02:58.782010Z,commons-csv,CSVPrinter,85.22,56,,22,62,112,13
2025-10-24T19:11:53.861192Z,commons-csv,CSVRecord,57.45,73.08,,23,49,220,14
2025-10-24T19:20:18.064795Z,commons-csv,CSVRecord,70.21,83.33,,23,35,210,14
2025-10-24T19:27:28.738689Z,commons-csv,CSVRecord,68.09,70,,23,38,200,15
2025-11-05T19:04:52.798046Z,commons-csv,Lexer,0,0,,23,0,50,0
2025-11-05T19:24:30.996732Z,commons-csv,ExtendedBufferedReader,79.73,68.75,,13,21,28,4
2025-11-06T23:38:39.798046Z,commons-csv,Lexer,0,0,,23,2,44,1
